subsystem,parameter,value,unit,status,source,rationale
Gland,Thread envelope,M70 x 2 equivalent 60-deg envelope,,KEEP_PARAMETRIC,phase2_gland_retainer_sizing.csv,"Strength is non-governing; exact standard, tolerance, locking, and seal detail remain open."
Gland,Thread engagement,12.0,mm,KEEP_PARAMETRIC,phase2_gland_retainer_sizing.csv,Preliminary packaging value; not strength-driven.
Lower barrel boss,Local boss OD,84.0,mm,LOCK_PRELIMINARY,phase2_gland_retainer_sizing.csv,Adopt as local Phase 2 envelope around gland/bushing region.
Lower barrel boss,Boss-to-smooth-barrel transition land,15.0,mm,KEEP_PARAMETRIC,phase2_lower_barrel_boss_sizing.csv,Current analytical screen is comfortable; actual fillet/root CAD will set final land.
Lower barrel boss,Actual fillet radius / local Kt,OPEN,,DEFER_DETAIL_FEA,phase2_lower_barrel_boss_sizing.csv,Do not invent Kt; resolve with actual transition geometry and FEA/detail analysis.
Axle / spindle,Smooth root OD,50.0,mm,LOCK_PRELIMINARY,phase2_axle_sizing.csv,Conservative root baseline; local bearing-seat/spindle detail remains open.
Axle / spindle,Smooth root wall,8.0,mm,LOCK_PRELIMINARY,phase2_axle_sizing.csv,Use for Phase 2 baseline before stepped spindle detailing.
Axle / spindle,Axle-to-piston local transition,OPEN,,DEFER_DETAIL_FEA,phase2_axle_sizing.csv,Needs a real lower forging/boss/fillet architecture; smooth sections alone do not define this junction.
Upper attachment,Trunnion architecture,Two bearings on +x axis + independent Mx brace path,,LOCK_PRELIMINARY,phase2_upper_trunnion_sizing.csv,Statically complete upper load path established.
Upper attachment,Trunnion journal diameter,32.0,mm,LOCK_PRELIMINARY,phase2_upper_trunnion_sizing.csv,Working journal has margin through Kt sensitivity.
Upper attachment,Trunnion bearing width,25.0,mm,LOCK_PRELIMINARY,phase2_upper_trunnion_sizing.csv,Reasonable bearing-pressure/root-bending compromise.
Upper attachment,Trunnion support span,120.0,mm,KEEP_PARAMETRIC,phase2_upper_trunnion_sizing.csv,"120 mm is conservative; actual airframe fitting width may permit a larger, beneficial span."
Upper brace,Tube OD,25.0,mm,LOCK_PRELIMINARY,phase2_upper_brace_sizing.csv,Current tube has comfortable strength and buckling margins.
Upper brace,Tube wall,3.0,mm,LOCK_PRELIMINARY,phase2_upper_brace_sizing.csv,Retains room for end-fitting and fatigue detail.
Upper brace,Pin diameter,18.0,mm,LOCK_PRELIMINARY,phase2_upper_brace_sizing.csv,Comfortable shear/bearing screen; real clevis pin bending remains open.
Upper brace,Pin-bushing projected width,20.0,mm,LOCK_PRELIMINARY,phase2_upper_brace_sizing.csv,Current bronze bearing screen is comfortable.
Upper brace,Effective perpendicular moment arm,250.0,mm,KEEP_PARAMETRIC,phase2_upper_brace_sizing.csv,Must be achieved by actual airframe/brace geometry; not yet a physical coordinate.
Upper brace,Pin-to-pin free length,350.0,mm,KEEP_PARAMETRIC,phase2_upper_brace_sizing.csv,Buckling is acceptable over the current sensitivity range; final length comes from CAD.
